growth_rate,people_fully_vaccinated_per_hundred,country,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,z,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,ISO,WEO Subject Code,Subject Descriptor,Subject Notes,Units,Scale,2020,2020,2021,2023,2024,2025,2026,Estimates Start After,
3.9,55.76,Portugal,7/31/21,968631,2590,2599.571,17361,17,11,94994.492,254.004,254.942,1702.608,1.667,1.079,0.68,,,,,,,,,63949,15380998,1508.428,6.272,63875,6.264,0.041,24.6,tests performed,12120727,7010170,5685309,93423,88948,118.87,68.75,55.76,8723,,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,PRT,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-7.587,3.9,4.8,2.5,2.3,1.8,1.7,2020
5.198,57.98,Singapore,7/31/21,64981,120,132.429,37,0,0,11107.212,20.512,22.636,6.324,0,0,1.19,,,,,,,,,,,,,,,,,,7576612,4307602,3391799,72058,63690,129.51,73.63,57.98,10887,50.93,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,SGP,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-5.391,5.198,3.232,2.73,2.643,2.487,2.523,2019
3.71,38.98,Slovenia,7/31/21,259215,136,85.143,4429,1,0.286,124686.618,65.418,40.955,2130.421,0.481,0.137,1.3,,,,,,,,,761,1392786,669.953,0.366,1347,0.648,0.066,15.2,tests performed,1730731,920384,810347,2276,6197,83.25,44.27,38.98,2981,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,,SVN,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-5.532,3.71,4.514,3.602,3.136,2.735,2.45,2020
3.1,1,South Africa,7/31/21,2447454,12418,11335.571,72013,334,360.714,41266.364,209.379,191.128,1214.207,5.632,6.082,0.99,,,,,,,,,,,,,,,,,,,,,,159989,,,,2698,51.85,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,ZAF,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-6.96,3.1,1.97,1.4,1.3,1.3,1.3,2020
6.375,59.48,Spain,7/31/21,4447044,0,23802.143,81486,0,37.857,95114.205,0,509.085,1742.838,0,0.81,1.14,,,,,,,,,,,,,,,,,,,,,,371925,,,,7955,47.69,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,ESP,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-10.964,6.375,4.701,2.79,2.43,1.39,1.4,2020
2.658,1,Tanzania,7/31/21,1017,0,72.571,21,0,0,17.025,0,1.215,0.352,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,TZA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",1.029,2.658,4.616,4.67,5.046,5.492,5.486,2019
3.81,8,Tunisia,7/31/21,589565,3419,3662.143,19686,183,188.143,49884.428,289.289,309.862,1665.677,15.484,15.919,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,TUN,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-8.8,3.81,2.432,1.996,1.843,1.763,1.779,2019
6.042,32.44,Turkey,7/31/21,5727045,22332,19952.429,51332,79,64.714,67905.008,264.788,236.574,608.638,0.937,0.767,1.58,,,,,,,,,,,,,,,,,,73272667,41012715,27355633,343025,1069910,86.88,48.63,32.44,12686,,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,TUR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",1.794,6.042,3.499,3.5,3.545,3.523,3.505,2020
5.344,56.49,United Kingdom,7/31/21,5883421,25782,26994.143,129949,72,75.857,86666.185,379.784,397.639,1914.224,1.061,1.117,0.81,,,,,,,,,663758,215571085,3175.486,9.778,801377,11.805,0.034,29.7,tests performed,85196986,46851145,38345841,251017,208985,125.5,69.01,56.49,3078,,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,,GBR,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-9.92,5.344,5.066,1.996,1.757,1.549,1.449,2020
6.386,49.17,United States,7/31/21,34978276,32808,78600.143,613157,144,358.143,105673.705,99.117,237.461,1852.423,0.435,1.082,1.5,11206,33.855,43585,131.676,,,,,,,,,,,,,,345640466,190982149,164446964,711952,657213,103.35,57.1,49.17,1965,49.54,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,USA,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",-3.505,6.386,3.515,1.41,1.481,1.607,1.61,2020
6.5,0.64,Vietnam,7/31/21,150060,8938,7878.143,1306,145,133.714,1541.629,91.824,80.935,13.417,1.49,1.374,1.42,,,,,,,,,,,,,,,,,,6203866,5583255,620611,272490,238304,6.37,5.74,0.64,2448,,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,,VNM,NGDP_RPCH,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,"See notes for: Gross domestic product, constant prices (National currency).",2.906,6.5,7.2,6.95,6.821,6.63,6.61,2019
