,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
56376,LIE,Europe,Liechtenstein,2021-07-31,3085.0,0.0,1.429,59.0,0.0,0.0,80892.572,0.0,37.459,1547.0539999999999,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
56896,LTU,Europe,Lithuania,2021-07-31,282818.0,402.0,292.0,4415.0,2.0,0.7140000000000001,103889.70199999999,147.67,107.26299999999999,1621.796,0.735,0.262,,,,,,,,,,,,,,,,,,,2658212.0,1414386.0,1243826.0,7093.0,13984.0,97.65,51.96,45.69,5137.0,,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.882,
57423,LUX,Europe,Luxembourg,2021-07-31,73870.0,0.0,65.429,822.0,0.0,0.14300000000000002,118007.719,0.0,104.522,1313.149,0.0,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.9159999999999999,
57598,MAC,Asia,Macao,2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509754.0,284657.0,226851.0,4422.0,4188.0,78.5,43.84,34.94,6450.0,,649342.0,20546.766,39.2,9.798,4.9910000000000005,104861.851,,,,,,,,84.24,,
58098,MDG,Africa,Madagascar,2021-07-31,42663.0,11.0,10.429,943.0,0.0,0.5710000000000001,1540.68,0.397,0.377,34.054,0.0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
58589,MWI,Africa,Malawi,2021-07-31,52347.0,538.0,611.571,1635.0,21.0,25.285999999999998,2736.389,28.123,31.969,85.46799999999999,1.0979999999999999,1.3219999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.483,
59144,MYS,Asia,Malaysia,2021-07-31,1113272.0,17786.0,16697.0,9024.0,299.0,160.286,34396.344,549.5269999999999,515.881,278.811,9.238,4.952,,,,,,,,,,,,,,,,,,,20720351.0,13949423.0,6770928.0,519364.0,523213.0,64.02,43.1,20.92,16166.0,,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
59656,MDV,Asia,Maldives,2021-07-31,77432.0,123.0,115.0,221.0,0.0,0.28600000000000003,143248.813,227.549,212.74900000000002,408.849,0.0,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,
60151,MLI,Africa,Mali,2021-07-31,14584.0,10.0,6.2860000000000005,532.0,0.0,0.28600000000000003,720.168,0.494,0.31,26.271,0.0,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,
60694,MLT,Europe,Malta,2021-07-31,34295.0,94.0,107.714,423.0,0.0,0.28600000000000003,77671.508,212.892,243.952,958.013,0.0,0.647,,,,,,,,,,,,,,,,,,,,,,,2189.0,,,,4958.0,,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,0.895,
60972,MHL,Oceania,Marshall Islands,2021-07-31,4.0,0.0,0.0,,,0.0,67.574,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.7040000000000001,
61478,MRT,Africa,Mauritania,2021-07-31,25691.0,268.0,305.143,562.0,4.0,4.857,5525.35,57.638999999999996,65.627,120.869,0.86,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,
61980,MUS,Africa,Mauritius,2021-07-31,3913.0,0.0,75.0,19.0,0.0,0.0,3076.821,0.0,58.973,14.94,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,
62559,MEX,North America,Mexico,2021-07-31,2848252.0,18809.0,15181.286,240906.0,450.0,370.0,22090.988999999998,145.882,117.74600000000001,1868.4620000000002,3.49,2.87,,,,,,,,,,,,,,,,,,,67355342.0,47463637.0,25792543.0,642856.0,971008.0,52.24,36.81,20.0,7531.0,,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.779,
62752,FSM,Oceania,Micronesia (country),2021-07-31,1.0,0.0,0.0,,,0.0,8.693999999999999,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115021.0,150.77700000000002,23.0,4.81,2.392,3299.4640000000004,16.0,454.343,12.02,,,,,67.88,0.62,
63264,MDA,Europe,Moldova,2021-07-31,259478.0,122.0,128.143,6255.0,0.0,1.857,64323.347,30.243000000000002,31.766,1550.5839999999998,0.0,0.46,,,,,,,,,,,,,,,,,,,1042636.0,548890.0,493746.0,8208.0,12976.0,25.85,13.61,12.24,3217.0,,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,0.75,
